flight_no,origin,destination,departure,arrival,base_price,bag_price,bags_allowed
QG176,IUT,GXV,2021-09-02T17:30:00,2021-09-02T18:35:00,24.0,10,1
DX614,IUT,GXV,2021-09-02T18:45:00,2021-09-02T19:50:00,26.0,9,1
QG112,IUQ,YOT,2021-09-02T20:35:00,2021-09-03T01:50:00,238.0,10,2
DX174,IUQ,GXV,2021-09-02T21:10:00,2021-09-02T22:20:00,34.0,9,1
QG176,GXV,IUT,2021-09-02T21:35:00,2021-09-02T22:40:00,24.0,10,1
QG613,IUT,LOM,2021-09-02T21:40:00,2021-09-02T23:55:00,24.0,10,1
QG662,GXV,LOM,2021-09-02T22:50:00,2021-09-03T00:35:00,43.0,10,1
QG363,IUQ,IUT,2021-09-02T23:50:00,2021-09-03T01:25:00,18.0,10,2
SJ109,YOT,IUT,2021-09-03T00:35:00,2021-09-03T04:55:00,139.0,14,2
DX614,GXV,IUT,2021-09-03T01:50:00,2021-09-03T02:55:00,26.0,9,1
SJ462,YOT,GXV,2021-09-03T01:50:00,2021-09-03T05:55:00,142.0,14,2
DX840,YOT,LOM,2021-09-03T02:55:00,2021-09-03T08:45:00,354.0,9,2
DX174,GXV,IUQ,2021-09-03T04:20:00,2021-09-03T05:30:00,34.0,9,1
SJ786,YOT,LOM,2021-09-03T04:35:00,2021-09-03T10:25:00,359.0,14,2
QG363,IUT,IUQ,2021-09-03T05:25:00,2021-09-03T07:00:00,18.0,10,2
SJ497,LOM,GXV,2021-09-03T08:45:00,2021-09-03T10:30:00,16.0,14,2
SJ109,IUT,YOT,2021-09-03T08:55:00,2021-09-03T13:15:00,139.0,14,2
SJ462,GXV,YOT,2021-09-03T10:55:00,2021-09-03T15:00:00,142.0,14,2
DX840,LOM,YOT,2021-09-03T11:45:00,2021-09-03T17:35:00,354.0,9,2
SJ497,GXV,LOM,2021-09-03T14:30:00,2021-09-03T16:15:00,16.0,14,2
SJ786,LOM,YOT,2021-09-03T15:25:00,2021-09-03T21:15:00,359.0,14,2
DX815,IUQ,IUT,2021-09-03T19:35:00,2021-09-03T21:10:00,34.0,9,1
SJ609,LOM,IUT,2021-09-03T22:35:00,2021-09-04T00:50:00,48.0,14,2
DX815,IUT,IUQ,2021-09-04T00:10:00,2021-09-04T01:45:00,34.0,9,1
SJ461,YOT,IUQ,2021-09-04T00:10:00,2021-09-04T05:25:00,233.0,14,2
QG809,IUQ,GXV,2021-09-04T00:30:00,2021-09-04T01:40:00,17.0,10,2
QG688,YOT,GXV,2021-09-04T01:10:00,2021-09-04T05:15:00,128.0,10,2
SJ609,IUT,LOM,2021-09-04T03:50:00,2021-09-04T06:05:00,48.0,14,2
QG809,GXV,IUQ,2021-09-04T07:40:00,2021-09-04T08:50:00,17.0,10,2
QG688,GXV,YOT,2021-09-04T10:15:00,2021-09-04T14:20:00,128.0,10,2
SJ461,IUQ,YOT,2021-09-04T11:25:00,2021-09-04T16:40:00,233.0,14,2
DX390,YOT,GXV,2021-09-04T13:10:00,2021-09-04T17:15:00,133.0,9,2
QG662,LOM,GXV,2021-09-04T15:05:00,2021-09-04T16:50:00,43.0,10,1
DX288,YOT,IUT,2021-09-04T17:35:00,2021-09-04T21:55:00,160.0,9,2
QG339,YOT,IUT,2021-09-04T18:25:00,2021-09-04T22:45:00,137.0,10,2
DX390,GXV,YOT,2021-09-04T19:15:00,2021-09-04T23:20:00,133.0,9,2
DX174,IUQ,GXV,2021-09-04T21:10:00,2021-09-04T22:20:00,34.0,9,1
QG662,GXV,LOM,2021-09-04T22:50:00,2021-09-05T00:35:00,43.0,10,1
DX418,YOT,IUQ,2021-09-04T23:05:00,2021-09-05T04:20:00,245.0,9,2
QG363,IUQ,IUT,2021-09-04T23:50:00,2021-09-05T01:25:00,18.0,10,2
DX288,IUT,YOT,2021-09-04T23:55:00,2021-09-05T04:15:00,160.0,9,2
QG339,IUT,YOT,2021-09-05T02:45:00,2021-09-05T07:05:00,137.0,10,2
DX174,GXV,IUQ,2021-09-05T04:20:00,2021-09-05T05:30:00,34.0,9,1
QG363,IUT,IUQ,2021-09-05T05:25:00,2021-09-05T07:00:00,18.0,10,2
DX491,LOM,GXV,2021-09-05T06:10:00,2021-09-05T07:55:00,12.0,9,1
DX418,IUQ,YOT,2021-09-05T07:20:00,2021-09-05T12:35:00,245.0,9,2
SJ216,IUQ,GXV,2021-09-05T07:30:00,2021-09-05T08:40:00,25.0,14,1
DX586,LOM,IUT,2021-09-05T08:40:00,2021-09-05T10:55:00,33.0,9,1
DX491,GXV,LOM,2021-09-05T09:55:00,2021-09-05T11:40:00,12.0,9,1
SJ216,GXV,IUQ,2021-09-05T12:40:00,2021-09-05T13:50:00,25.0,14,1
DX586,IUT,LOM,2021-09-05T16:55:00,2021-09-05T19:10:00,33.0,9,1
QG176,IUT,GXV,2021-09-05T17:30:00,2021-09-05T18:35:00,24.0,10,1
QG176,GXV,IUT,2021-09-05T21:35:00,2021-09-05T22:40:00,24.0,10,1
QG767,YOT,LOM,2021-09-06T00:55:00,2021-09-06T06:45:00,357.0,10,2
SJ093,IUT,GXV,2021-09-06T01:45:00,2021-09-06T02:50:00,25.0,14,1
SJ147,IUQ,IUT,2021-09-06T02:10:00,2021-09-06T03:45:00,44.0,14,2
SJ147,IUT,IUQ,2021-09-06T08:45:00,2021-09-06T10:20:00,44.0,14,2
SJ093,GXV,IUT,2021-09-06T08:50:00,2021-09-06T09:55:00,25.0,14,1
QG112,YOT,IUQ,2021-09-06T12:20:00,2021-09-06T17:35:00,238.0,10,2
QG767,LOM,YOT,2021-09-06T12:45:00,2021-09-06T18:35:00,357.0,10,2
QG613,LOM,IUT,2021-09-06T15:25:00,2021-09-06T17:40:00,24.0,10,1
DX614,IUT,GXV,2021-09-06T18:45:00,2021-09-06T19:50:00,26.0,9,1
QG112,IUQ,YOT,2021-09-06T20:35:00,2021-09-07T01:50:00,238.0,10,2
QG613,IUT,LOM,2021-09-06T21:40:00,2021-09-06T23:55:00,24.0,10,1
SJ109,YOT,IUT,2021-09-07T00:35:00,2021-09-07T04:55:00,139.0,14,2
DX614,GXV,IUT,2021-09-07T01:50:00,2021-09-07T02:55:00,26.0,9,1
SJ462,YOT,GXV,2021-09-07T01:50:00,2021-09-07T05:55:00,142.0,14,2
DX840,YOT,LOM,2021-09-07T02:55:00,2021-09-07T08:45:00,354.0,9,2
SJ786,YOT,LOM,2021-09-07T04:35:00,2021-09-07T10:25:00,359.0,14,2
SJ497,LOM,GXV,2021-09-07T08:45:00,2021-09-07T10:30:00,16.0,14,2
SJ109,IUT,YOT,2021-09-07T08:55:00,2021-09-07T13:15:00,139.0,14,2
SJ462,GXV,YOT,2021-09-07T10:55:00,2021-09-07T15:00:00,142.0,14,2
DX840,LOM,YOT,2021-09-07T11:45:00,2021-09-07T17:35:00,354.0,9,2
SJ497,GXV,LOM,2021-09-07T14:30:00,2021-09-07T16:15:00,16.0,14,2
QG662,LOM,GXV,2021-09-07T15:05:00,2021-09-07T16:50:00,43.0,10,1
SJ786,LOM,YOT,2021-09-07T15:25:00,2021-09-07T21:15:00,359.0,14,2
DX815,IUQ,IUT,2021-09-07T19:35:00,2021-09-07T21:10:00,34.0,9,1
DX174,IUQ,GXV,2021-09-07T21:10:00,2021-09-07T22:20:00,34.0,9,1
SJ609,LOM,IUT,2021-09-07T22:35:00,2021-09-08T00:50:00,48.0,14,2
QG662,GXV,LOM,2021-09-07T22:50:00,2021-09-08T00:35:00,43.0,10,1
QG363,IUQ,IUT,2021-09-07T23:50:00,2021-09-08T01:25:00,18.0,10,2
DX815,IUT,IUQ,2021-09-08T00:10:00,2021-09-08T01:45:00,34.0,9,1
SJ609,IUT,LOM,2021-09-08T03:50:00,2021-09-08T06:05:00,48.0,14,2
DX174,GXV,IUQ,2021-09-08T04:20:00,2021-09-08T05:30:00,34.0,9,1
QG363,IUT,IUQ,2021-09-08T05:25:00,2021-09-08T07:00:00,18.0,10,2
SJ461,YOT,IUQ,2021-09-09T00:10:00,2021-09-09T05:25:00,233.0,14,2
QG809,IUQ,GXV,2021-09-09T00:30:00,2021-09-09T01:40:00,17.0,10,2
QG688,YOT,GXV,2021-09-09T01:10:00,2021-09-09T05:15:00,128.0,10,2
SJ216,IUQ,GXV,2021-09-09T07:30:00,2021-09-09T08:40:00,25.0,14,1
QG809,GXV,IUQ,2021-09-09T07:40:00,2021-09-09T08:50:00,17.0,10,2
DX586,LOM,IUT,2021-09-09T08:40:00,2021-09-09T10:55:00,33.0,9,1
QG688,GXV,YOT,2021-09-09T10:15:00,2021-09-09T14:20:00,128.0,10,2
SJ461,IUQ,YOT,2021-09-09T11:25:00,2021-09-09T16:40:00,233.0,14,2
SJ216,GXV,IUQ,2021-09-09T12:40:00,2021-09-09T13:50:00,25.0,14,1
DX390,YOT,GXV,2021-09-09T13:10:00,2021-09-09T17:15:00,133.0,9,2
DX586,IUT,LOM,2021-09-09T16:55:00,2021-09-09T19:10:00,33.0,9,1
DX288,YOT,IUT,2021-09-09T17:35:00,2021-09-09T21:55:00,160.0,9,2
QG339,YOT,IUT,2021-09-09T18:25:00,2021-09-09T22:45:00,137.0,10,2
DX390,GXV,YOT,2021-09-09T19:15:00,2021-09-09T23:20:00,133.0,9,2
DX418,YOT,IUQ,2021-09-09T23:05:00,2021-09-10T04:20:00,245.0,9,2
DX288,IUT,YOT,2021-09-09T23:55:00,2021-09-10T04:15:00,160.0,9,2
QG339,IUT,YOT,2021-09-10T02:45:00,2021-09-10T07:05:00,137.0,10,2
DX491,LOM,GXV,2021-09-10T06:10:00,2021-09-10T07:55:00,12.0,9,1
DX418,IUQ,YOT,2021-09-10T07:20:00,2021-09-10T12:35:00,245.0,9,2
DX491,GXV,LOM,2021-09-10T09:55:00,2021-09-10T11:40:00,12.0,9,1
QG176,IUT,GXV,2021-09-10T17:30:00,2021-09-10T18:35:00,24.0,10,1
QG176,GXV,IUT,2021-09-10T21:35:00,2021-09-10T22:40:00,24.0,10,1
QG767,YOT,LOM,2021-09-11T00:55:00,2021-09-11T06:45:00,357.0,10,2
SJ093,IUT,GXV,2021-09-11T01:45:00,2021-09-11T02:50:00,25.0,14,1
SJ147,IUQ,IUT,2021-09-11T02:10:00,2021-09-11T03:45:00,44.0,14,2
SJ147,IUT,IUQ,2021-09-11T08:45:00,2021-09-11T10:20:00,44.0,14,2
SJ093,GXV,IUT,2021-09-11T08:50:00,2021-09-11T09:55:00,25.0,14,1
QG112,YOT,IUQ,2021-09-11T12:20:00,2021-09-11T17:35:00,238.0,10,2
QG767,LOM,YOT,2021-09-11T12:45:00,2021-09-11T18:35:00,357.0,10,2
QG613,LOM,IUT,2021-09-11T15:25:00,2021-09-11T17:40:00,24.0,10,1
DX614,IUT,GXV,2021-09-11T18:45:00,2021-09-11T19:50:00,26.0,9,1
QG112,IUQ,YOT,2021-09-11T20:35:00,2021-09-12T01:50:00,238.0,10,2
QG613,IUT,LOM,2021-09-11T21:40:00,2021-09-11T23:55:00,24.0,10,1
SJ109,YOT,IUT,2021-09-12T00:35:00,2021-09-12T04:55:00,139.0,14,2
DX614,GXV,IUT,2021-09-12T01:50:00,2021-09-12T02:55:00,26.0,9,1
SJ786,YOT,LOM,2021-09-12T04:35:00,2021-09-12T10:25:00,359.0,14,2
SJ497,LOM,GXV,2021-09-12T08:45:00,2021-09-12T10:30:00,16.0,14,2
SJ109,IUT,YOT,2021-09-12T08:55:00,2021-09-12T13:15:00,139.0,14,2
SJ497,GXV,LOM,2021-09-12T14:30:00,2021-09-12T16:15:00,16.0,14,2
QG662,LOM,GXV,2021-09-12T15:05:00,2021-09-12T16:50:00,43.0,10,1
SJ786,LOM,YOT,2021-09-12T15:25:00,2021-09-12T21:15:00,359.0,14,2
DX174,IUQ,GXV,2021-09-12T21:10:00,2021-09-12T22:20:00,34.0,9,1
QG662,GXV,LOM,2021-09-12T22:50:00,2021-09-13T00:35:00,43.0,10,1
QG363,IUQ,IUT,2021-09-12T23:50:00,2021-09-13T01:25:00,18.0,10,2
SJ462,YOT,GXV,2021-09-13T01:50:00,2021-09-13T05:55:00,142.0,14,2
DX840,YOT,LOM,2021-09-13T02:55:00,2021-09-13T08:45:00,354.0,9,2
DX174,GXV,IUQ,2021-09-13T04:20:00,2021-09-13T05:30:00,34.0,9,1
QG363,IUT,IUQ,2021-09-13T05:25:00,2021-09-13T07:00:00,18.0,10,2
SJ462,GXV,YOT,2021-09-13T10:55:00,2021-09-13T15:00:00,142.0,14,2
DX840,LOM,YOT,2021-09-13T11:45:00,2021-09-13T17:35:00,354.0,9,2
DX815,IUQ,IUT,2021-09-13T19:35:00,2021-09-13T21:10:00,34.0,9,1
SJ609,LOM,IUT,2021-09-13T22:35:00,2021-09-14T00:50:00,48.0,14,2
DX815,IUT,IUQ,2021-09-14T00:10:00,2021-09-14T01:45:00,34.0,9,1
SJ609,IUT,LOM,2021-09-14T03:50:00,2021-09-14T06:05:00,48.0,14,2
SJ216,IUQ,GXV,2021-09-15T07:30:00,2021-09-15T08:40:00,25.0,14,1
DX586,LOM,IUT,2021-09-15T08:40:00,2021-09-15T10:55:00,33.0,9,1
SJ216,GXV,IUQ,2021-09-15T12:40:00,2021-09-15T13:50:00,25.0,14,1
DX586,IUT,LOM,2021-09-15T16:55:00,2021-09-15T19:10:00,33.0,9,1
QG662,LOM,GXV,2021-09-18T15:05:00,2021-09-18T16:50:00,43.0,10,1
DX174,IUQ,GXV,2021-09-18T21:10:00,2021-09-18T22:20:00,34.0,9,1
QG662,GXV,LOM,2021-09-18T22:50:00,2021-09-19T00:35:00,43.0,10,1
QG363,IUQ,IUT,2021-09-18T23:50:00,2021-09-19T01:25:00,18.0,10,2
DX174,GXV,IUQ,2021-09-19T04:20:00,2021-09-19T05:30:00,34.0,9,1
QG363,IUT,IUQ,2021-09-19T05:25:00,2021-09-19T07:00:00,18.0,10,2
