flight_no,origin,destination,departure,arrival,base_price,bag_price,bags_allowed
YL120,JBN,WTN,2021-09-01T08:20:00,2021-09-01T13:00:00,205.0,10,2
JT457,ZRW,NNB,2021-09-01T08:30:00,2021-09-01T11:30:00,77.0,11,2
CC419,BPZ,NNB,2021-09-01T08:40:00,2021-09-01T11:00:00,39.0,9,2
YL336,ZRW,WTN,2021-09-01T08:55:00,2021-09-01T12:35:00,115.0,10,2
JT323,JBN,WTN,2021-09-01T09:30:00,2021-09-01T14:10:00,185.0,11,2
CC100,EZO,VVH,2021-09-01T10:05:00,2021-09-01T14:10:00,136.0,9,2
CC675,NNB,VVH,2021-09-01T10:10:00,2021-09-01T12:00:00,15.0,9,1
CC229,VVH,BPZ,2021-09-01T10:15:00,2021-09-01T14:30:00,126.0,9,2
YL311,BPZ,VVH,2021-09-01T10:15:00,2021-09-01T14:30:00,147.0,10,2
CC300,ZRW,BPZ,2021-09-01T10:50:00,2021-09-01T14:00:00,75.0,9,2
YL568,NNB,BPZ,2021-09-01T10:55:00,2021-09-01T13:15:00,54.0,10,2
JT459,JBN,NNB,2021-09-01T11:05:00,2021-09-01T13:10:00,33.0,11,1
JT755,EZO,WUE,2021-09-01T11:10:00,2021-09-01T14:25:00,76.0,11,1
CC366,ZRW,NNB,2021-09-01T11:25:00,2021-09-01T14:25:00,42.0,9,1
CC329,NNB,EZO,2021-09-01T11:35:00,2021-09-01T14:25:00,60.0,9,2
YL826,ZRW,VVH,2021-09-01T11:50:00,2021-09-01T15:20:00,100.0,10,2
JT626,WUE,VVH,2021-09-01T12:00:00,2021-09-01T14:40:00,67.0,11,1
YL302,NNB,WUE,2021-09-01T12:05:00,2021-09-01T15:20:00,62.0,10,2
JT547,BPZ,EZO,2021-09-01T12:25:00,2021-09-01T15:55:00,92.0,11,2
JT704,ZRW,JBN,2021-09-01T12:35:00,2021-09-01T17:25:00,198.0,11,2
YL492,JBN,ZRW,2021-09-01T12:35:00,2021-09-01T17:25:00,203.0,10,2
CC156,EZO,WUE,2021-09-01T12:45:00,2021-09-01T16:00:00,64.0,9,2
JT512,VVH,NNB,2021-09-01T12:45:00,2021-09-01T14:35:00,27.0,11,1
CC419,NNB,BPZ,2021-09-01T13:00:00,2021-09-01T15:20:00,39.0,9,2
JT106,ZRW,WTN,2021-09-01T13:20:00,2021-09-01T17:00:00,98.0,11,2
CC118,WTN,VVH,2021-09-01T13:25:00,2021-09-01T18:10:00,193.0,9,2
JT467,WTN,NNB,2021-09-01T14:05:00,2021-09-01T16:55:00,45.0,11,1
CC714,NNB,WTN,2021-09-01T14:45:00,2021-09-01T17:35:00,41.0,9,1
YL410,NNB,WTN,2021-09-01T14:45:00,2021-09-01T17:35:00,55.0,10,2
CC235,VVH,JBN,2021-09-01T15:00:00,2021-09-01T16:50:00,47.0,9,1
JT819,WUE,WTN,2021-09-01T15:10:00,2021-09-01T20:55:00,353.0,11,2
JT409,BPZ,WUE,2021-09-01T15:50:00,2021-09-01T21:20:00,304.0,11,2
JT148,EZO,WTN,2021-09-01T15:50:00,2021-09-01T19:25:00,90.0,11,2
YL120,WTN,JBN,2021-09-01T16:00:00,2021-09-01T20:40:00,205.0,10,2
JT104,EZO,ZRW,2021-09-01T16:05:00,2021-09-01T21:45:00,333.0,11,2
YL366,NNB,ZRW,2021-09-01T16:10:00,2021-09-01T19:10:00,47.0,10,2
JT442,EZO,VVH,2021-09-01T16:25:00,2021-09-01T20:30:00,113.0,11,2
CC742,WTN,ZRW,2021-09-01T16:35:00,2021-09-01T20:15:00,95.0,9,2
JT618,VVH,ZRW,2021-09-01T16:40:00,2021-09-01T20:10:00,90.0,11,2
CC535,ZRW,WUE,2021-09-01T16:45:00,2021-09-01T22:45:00,350.0,9,2
CC808,BPZ,WUE,2021-09-01T17:10:00,2021-09-01T22:40:00,311.0,9,2
YL311,VVH,BPZ,2021-09-01T17:30:00,2021-09-01T21:45:00,147.0,10,2
YL562,WUE,WTN,2021-09-01T17:30:00,2021-09-01T23:15:00,337.0,10,2
YL336,WTN,ZRW,2021-09-01T17:35:00,2021-09-01T21:15:00,115.0,10,2
JT510,EZO,NNB,2021-09-01T17:50:00,2021-09-01T20:40:00,61.0,11,1
CC675,VVH,NNB,2021-09-01T18:00:00,2021-09-01T19:50:00,15.0,9,1
JT323,WTN,JBN,2021-09-01T18:10:00,2021-09-01T22:50:00,185.0,11,2
CC813,BPZ,EZO,2021-09-01T18:30:00,2021-09-01T22:00:00,76.0,9,2
CC235,JBN,VVH,2021-09-01T18:50:00,2021-09-01T20:40:00,47.0,9,1
CC131,WTN,JBN,2021-09-01T19:00:00,2021-09-01T23:40:00,176.0,9,2
CC563,VVH,ZRW,2021-09-01T19:00:00,2021-09-01T22:30:00,77.0,9,2
YL278,BPZ,JBN,2021-09-01T19:00:00,2021-09-01T23:15:00,124.0,10,2
CC100,VVH,EZO,2021-09-01T19:10:00,2021-09-01T23:15:00,136.0,9,2
JT106,WTN,ZRW,2021-09-01T20:00:00,2021-09-01T23:40:00,98.0,11,2
YL046,BPZ,WUE,2021-09-01T20:20:00,2021-09-02T01:50:00,317.0,10,2
JT626,VVH,WUE,2021-09-01T20:40:00,2021-09-01T23:20:00,67.0,11,1
JT547,EZO,BPZ,2021-09-01T20:55:00,2021-09-02T00:25:00,92.0,11,2
YL244,VVH,WTN,2021-09-01T21:20:00,2021-09-02T02:05:00,189.0,10,2
JT148,WTN,EZO,2021-09-01T21:25:00,2021-09-02T01:00:00,90.0,11,2
YL839,WUE,EZO,2021-09-01T21:25:00,2021-09-02T00:40:00,91.0,10,1
YL492,ZRW,JBN,2021-09-01T21:25:00,2021-09-02T02:15:00,203.0,10,2
YL225,EZO,NNB,2021-09-01T21:45:00,2021-09-02T00:35:00,66.0,10,1
YL319,EZO,VVH,2021-09-01T21:50:00,2021-09-02T01:55:00,117.0,10,2
JT618,ZRW,VVH,2021-09-01T22:10:00,2021-09-02T01:40:00,90.0,11,2
YL410,WTN,NNB,2021-09-01T22:35:00,2021-09-02T01:25:00,55.0,10,2
JT688,BPZ,JBN,2021-09-01T22:55:00,2021-09-02T03:10:00,144.0,11,2
YL366,ZRW,NNB,2021-09-01T23:10:00,2021-09-02T02:10:00,47.0,10,2
CC463,BPZ,JBN,2021-09-01T23:25:00,2021-09-02T03:40:00,126.0,9,2
CC714,WTN,NNB,2021-09-01T23:35:00,2021-09-02T02:25:00,41.0,9,1
JT510,NNB,EZO,2021-09-01T23:40:00,2021-09-02T02:30:00,61.0,11,1
JT104,ZRW,EZO,2021-09-01T23:45:00,2021-09-02T05:25:00,333.0,11,2
JT465,WUE,NNB,2021-09-02T00:15:00,2021-09-02T03:30:00,71.0,11,1
JT409,WUE,BPZ,2021-09-02T00:20:00,2021-09-02T05:50:00,304.0,11,2
YL471,EZO,JBN,2021-09-02T00:20:00,2021-09-02T02:55:00,31.0,10,1
CC515,WUE,JBN,2021-09-02T00:45:00,2021-09-02T01:55:00,18.0,9,2
JT819,WTN,WUE,2021-09-02T00:55:00,2021-09-02T06:40:00,353.0,11,2
CC612,EZO,JBN,2021-09-02T01:05:00,2021-09-02T03:40:00,30.0,9,2
JT442,VVH,EZO,2021-09-02T01:30:00,2021-09-02T05:35:00,113.0,11,2
JT704,JBN,ZRW,2021-09-02T01:45:00,2021-09-02T06:35:00,198.0,11,2
CC229,BPZ,VVH,2021-09-02T02:00:00,2021-09-02T06:15:00,126.0,9,2
YL225,NNB,EZO,2021-09-02T02:35:00,2021-09-02T05:25:00,66.0,10,1
CC329,EZO,NNB,2021-09-02T02:45:00,2021-09-02T05:35:00,60.0,9,2
YL714,EZO,WTN,2021-09-02T02:50:00,2021-09-02T06:25:00,100.0,10,2
JT755,WUE,EZO,2021-09-02T02:55:00,2021-09-02T06:10:00,76.0,11,1
CC813,EZO,BPZ,2021-09-02T03:00:00,2021-09-02T06:30:00,76.0,9,2
YL562,WTN,WUE,2021-09-02T03:15:00,2021-09-02T09:00:00,337.0,10,2
CC563,ZRW,VVH,2021-09-02T03:30:00,2021-09-02T07:00:00,77.0,9,2
CC808,WUE,BPZ,2021-09-02T03:40:00,2021-09-02T09:10:00,311.0,9,2
YL839,EZO,WUE,2021-09-02T03:40:00,2021-09-02T06:55:00,91.0,10,1
YL046,WUE,BPZ,2021-09-02T03:50:00,2021-09-02T09:20:00,317.0,10,2
CC515,JBN,WUE,2021-09-02T03:55:00,2021-09-02T05:05:00,18.0,9,2
JT459,NNB,JBN,2021-09-02T04:00:00,2021-09-02T06:05:00,33.0,11,1
YL244,WTN,VVH,2021-09-02T04:05:00,2021-09-02T08:50:00,189.0,10,2
YL278,JBN,BPZ,2021-09-02T04:15:00,2021-09-02T08:30:00,124.0,10,2
CC118,VVH,WTN,2021-09-02T04:40:00,2021-09-02T09:25:00,193.0,9,2
JT512,NNB,VVH,2021-09-02T04:55:00,2021-09-02T06:45:00,27.0,11,1
YL471,JBN,EZO,2021-09-02T04:55:00,2021-09-02T07:30:00,31.0,10,1
JT688,JBN,BPZ,2021-09-02T05:10:00,2021-09-02T09:25:00,144.0,11,2
CC366,NNB,ZRW,2021-09-02T05:25:00,2021-09-02T08:25:00,42.0,9,1
YL302,WUE,NNB,2021-09-02T05:50:00,2021-09-02T09:05:00,62.0,10,2
YL568,BPZ,NNB,2021-09-02T06:35:00,2021-09-02T08:55:00,54.0,10,2
YL596,NNB,JBN,2021-09-02T06:35:00,2021-09-02T08:40:00,16.0,10,2
CC742,ZRW,WTN,2021-09-02T06:55:00,2021-09-02T10:35:00,95.0,9,2
YL319,VVH,EZO,2021-09-02T06:55:00,2021-09-02T11:00:00,117.0,10,2
JT465,NNB,WUE,2021-09-02T07:30:00,2021-09-02T10:45:00,71.0,11,1
JT467,NNB,WTN,2021-09-02T08:15:00,2021-09-02T11:05:00,45.0,11,1
CC131,JBN,WTN,2021-09-02T08:20:00,2021-09-02T13:00:00,176.0,9,2
JT200,BPZ,NNB,2021-09-02T08:20:00,2021-09-02T10:40:00,41.0,11,2
CC419,BPZ,NNB,2021-09-02T08:40:00,2021-09-02T11:00:00,39.0,9,2
JT341,BPZ,ZRW,2021-09-02T08:40:00,2021-09-02T11:50:00,59.0,11,2
CC451,EZO,WTN,2021-09-02T08:50:00,2021-09-02T12:25:00,95.0,9,2
YL336,ZRW,WTN,2021-09-02T08:55:00,2021-09-02T12:35:00,115.0,10,2
CC463,JBN,BPZ,2021-09-02T09:40:00,2021-09-02T13:55:00,126.0,9,2
CC612,JBN,EZO,2021-09-02T09:40:00,2021-09-02T12:15:00,30.0,9,2
CC229,VVH,BPZ,2021-09-02T10:15:00,2021-09-02T14:30:00,126.0,9,2
YL311,BPZ,VVH,2021-09-02T10:15:00,2021-09-02T14:30:00,147.0,10,2
YL320,WUE,JBN,2021-09-02T10:20:00,2021-09-02T11:30:00,2.0,10,2
JT107,BPZ,VVH,2021-09-02T10:55:00,2021-09-02T15:10:00,156.0,11,2
YL568,NNB,BPZ,2021-09-02T10:55:00,2021-09-02T13:15:00,54.0,10,2
YL591,NNB,VVH,2021-09-02T10:55:00,2021-09-02T12:45:00,30.0,10,1
JT459,JBN,NNB,2021-09-02T11:05:00,2021-09-02T13:10:00,33.0,11,1
JT755,EZO,WUE,2021-09-02T11:10:00,2021-09-02T14:25:00,76.0,11,1
YL576,EZO,ZRW,2021-09-02T11:20:00,2021-09-02T17:00:00,310.0,10,2
CC366,ZRW,NNB,2021-09-02T11:25:00,2021-09-02T14:25:00,42.0,9,1
CC329,NNB,EZO,2021-09-02T11:35:00,2021-09-02T14:25:00,60.0,9,2
CC561,WUE,NNB,2021-09-02T12:00:00,2021-09-02T15:15:00,84.0,9,1
JT626,WUE,VVH,2021-09-02T12:00:00,2021-09-02T14:40:00,67.0,11,1
YL302,NNB,WUE,2021-09-02T12:05:00,2021-09-02T15:20:00,62.0,10,2
CC311,WUE,WTN,2021-09-02T12:20:00,2021-09-02T18:05:00,327.0,9,2
CC211,EZO,ZRW,2021-09-02T12:20:00,2021-09-02T18:00:00,325.0,9,2
YL714,WTN,EZO,2021-09-02T12:25:00,2021-09-02T16:00:00,100.0,10,2
JT704,ZRW,JBN,2021-09-02T12:35:00,2021-09-02T17:25:00,198.0,11,2
YL596,JBN,NNB,2021-09-02T12:40:00,2021-09-02T14:45:00,16.0,10,2
JT512,VVH,NNB,2021-09-02T12:45:00,2021-09-02T14:35:00,27.0,11,1
JT448,EZO,JBN,2021-09-02T12:45:00,2021-09-02T15:20:00,47.0,11,1
CC419,NNB,BPZ,2021-09-02T13:00:00,2021-09-02T15:20:00,39.0,9,2
JT106,ZRW,WTN,2021-09-02T13:20:00,2021-09-02T17:00:00,98.0,11,2
CC118,WTN,VVH,2021-09-02T13:25:00,2021-09-02T18:10:00,193.0,9,2
JT226,VVH,WTN,2021-09-02T14:00:00,2021-09-02T18:45:00,188.0,11,2
JT467,WTN,NNB,2021-09-02T14:05:00,2021-09-02T16:55:00,45.0,11,1
YL193,BPZ,EZO,2021-09-02T14:05:00,2021-09-02T17:35:00,114.0,10,2
CC753,NNB,JBN,2021-09-02T14:10:00,2021-09-02T16:15:00,53.0,9,2
JT200,NNB,BPZ,2021-09-02T14:40:00,2021-09-02T17:00:00,41.0,11,2
YL591,VVH,NNB,2021-09-02T14:45:00,2021-09-02T16:35:00,30.0,10,1
CC235,VVH,JBN,2021-09-02T15:00:00,2021-09-02T16:50:00,47.0,9,1
JT148,EZO,WTN,2021-09-02T15:50:00,2021-09-02T19:25:00,90.0,11,2
JT341,ZRW,BPZ,2021-09-02T15:50:00,2021-09-02T19:00:00,59.0,11,2
JT104,EZO,ZRW,2021-09-02T16:05:00,2021-09-02T21:45:00,333.0,11,2
YL366,NNB,ZRW,2021-09-02T16:10:00,2021-09-02T19:10:00,47.0,10,2
CC451,WTN,EZO,2021-09-02T16:25:00,2021-09-02T20:00:00,95.0,9,2
YL320,JBN,WUE,2021-09-02T16:30:00,2021-09-02T17:40:00,2.0,10,2
CC742,WTN,ZRW,2021-09-02T16:35:00,2021-09-02T20:15:00,95.0,9,2
CC143,JBN,ZRW,2021-09-02T16:35:00,2021-09-02T21:25:00,211.0,9,2
JT448,JBN,EZO,2021-09-02T17:20:00,2021-09-02T19:55:00,47.0,11,1
YL311,VVH,BPZ,2021-09-02T17:30:00,2021-09-02T21:45:00,147.0,10,2
YL562,WUE,WTN,2021-09-02T17:30:00,2021-09-02T23:15:00,337.0,10,2
YL336,WTN,ZRW,2021-09-02T17:35:00,2021-09-02T21:15:00,115.0,10,2
JT105,WUE,ZRW,2021-09-02T18:00:00,2021-09-03T00:00:00,345.0,11,2
YL774,VVH,JBN,2021-09-02T18:05:00,2021-09-02T19:55:00,13.0,10,2
CC202,WUE,VVH,2021-09-02T18:10:00,2021-09-02T20:50:00,41.0,9,2
JT178,VVH,JBN,2021-09-02T18:15:00,2021-09-02T20:05:00,30.0,11,1
CC235,JBN,VVH,2021-09-02T18:50:00,2021-09-02T20:40:00,47.0,9,1
CC131,WTN,JBN,2021-09-02T19:00:00,2021-09-02T23:40:00,176.0,9,2
CC563,VVH,ZRW,2021-09-02T19:00:00,2021-09-02T22:30:00,77.0,9,2
JT107,VVH,BPZ,2021-09-02T19:10:00,2021-09-02T23:25:00,156.0,11,2
CC561,NNB,WUE,2021-09-02T19:15:00,2021-09-02T22:30:00,84.0,9,1
JT106,WTN,ZRW,2021-09-02T20:00:00,2021-09-02T23:40:00,98.0,11,2
CC311,WTN,WUE,2021-09-02T20:05:00,2021-09-03T01:50:00,327.0,9,2
CC753,JBN,NNB,2021-09-02T20:15:00,2021-09-02T22:20:00,53.0,9,2
JT626,VVH,WUE,2021-09-02T20:40:00,2021-09-02T23:20:00,67.0,11,1
YL576,ZRW,EZO,2021-09-02T21:00:00,2021-09-03T02:40:00,310.0,10,2
YL837,WUE,VVH,2021-09-02T21:10:00,2021-09-02T23:50:00,55.0,10,1
YL244,VVH,WTN,2021-09-02T21:20:00,2021-09-03T02:05:00,189.0,10,2
JT148,WTN,EZO,2021-09-02T21:25:00,2021-09-03T01:00:00,90.0,11,2
YL225,EZO,NNB,2021-09-02T21:45:00,2021-09-03T00:35:00,66.0,10,1
YL643,WUE,ZRW,2021-09-02T21:55:00,2021-09-03T03:55:00,366.0,10,2
YL774,JBN,VVH,2021-09-02T22:55:00,2021-09-03T00:45:00,13.0,10,2
YL366,ZRW,NNB,2021-09-02T23:10:00,2021-09-03T02:10:00,47.0,10,2
YL690,BPZ,ZRW,2021-09-02T23:30:00,2021-09-03T02:40:00,73.0,10,1
YL193,EZO,BPZ,2021-09-02T23:35:00,2021-09-03T03:05:00,114.0,10,2
JT104,ZRW,EZO,2021-09-02T23:45:00,2021-09-03T05:25:00,333.0,11,2
CC211,ZRW,EZO,2021-09-03T00:00:00,2021-09-03T05:40:00,325.0,9,2
JT808,WUE,JBN,2021-09-03T00:05:00,2021-09-03T01:15:00,36.0,11,2
JT178,JBN,VVH,2021-09-03T00:05:00,2021-09-03T01:55:00,30.0,11,1
CC143,ZRW,JBN,2021-09-03T00:25:00,2021-09-03T05:15:00,211.0,9,2
JT457,NNB,ZRW,2021-09-03T00:30:00,2021-09-03T03:30:00,77.0,11,2
JT226,WTN,VVH,2021-09-03T00:45:00,2021-09-03T05:30:00,188.0,11,2
CC202,VVH,WUE,2021-09-03T01:50:00,2021-09-03T04:30:00,41.0,9,2
YL225,NNB,EZO,2021-09-03T02:35:00,2021-09-03T05:25:00,66.0,10,1
YL562,WTN,WUE,2021-09-03T03:15:00,2021-09-03T09:00:00,337.0,10,2
CC156,WUE,EZO,2021-09-03T03:30:00,2021-09-03T06:45:00,64.0,9,2
CC563,ZRW,VVH,2021-09-03T03:30:00,2021-09-03T07:00:00,77.0,9,2
YL837,VVH,WUE,2021-09-03T03:50:00,2021-09-03T06:30:00,55.0,10,1
JT105,ZRW,WUE,2021-09-03T04:00:00,2021-09-03T10:00:00,345.0,11,2
YL244,WTN,VVH,2021-09-03T04:05:00,2021-09-03T08:50:00,189.0,10,2
YL826,VVH,ZRW,2021-09-03T04:20:00,2021-09-03T07:50:00,100.0,10,2
CC535,WUE,ZRW,2021-09-03T04:45:00,2021-09-03T10:45:00,350.0,9,2
JT808,JBN,WUE,2021-09-03T06:15:00,2021-09-03T07:25:00,36.0,11,2
YL690,ZRW,BPZ,2021-09-03T06:40:00,2021-09-03T09:50:00,73.0,10,1
YL120,JBN,WTN,2021-09-03T08:20:00,2021-09-03T13:00:00,205.0,10,2
JT457,ZRW,NNB,2021-09-03T08:30:00,2021-09-03T11:30:00,77.0,11,2
JT323,JBN,WTN,2021-09-03T09:30:00,2021-09-03T14:10:00,185.0,11,2
YL643,ZRW,WUE,2021-09-03T09:55:00,2021-09-03T15:55:00,366.0,10,2
CC100,EZO,VVH,2021-09-03T10:05:00,2021-09-03T14:10:00,136.0,9,2
CC675,NNB,VVH,2021-09-03T10:10:00,2021-09-03T12:00:00,15.0,9,1
YL826,ZRW,VVH,2021-09-03T11:50:00,2021-09-03T15:20:00,100.0,10,2
JT547,BPZ,EZO,2021-09-03T12:25:00,2021-09-03T15:55:00,92.0,11,2
YL492,JBN,ZRW,2021-09-03T12:35:00,2021-09-03T17:25:00,203.0,10,2
CC156,EZO,WUE,2021-09-03T12:45:00,2021-09-03T16:00:00,64.0,9,2
CC714,NNB,WTN,2021-09-03T14:45:00,2021-09-03T17:35:00,41.0,9,1
YL410,NNB,WTN,2021-09-03T14:45:00,2021-09-03T17:35:00,55.0,10,2
JT819,WUE,WTN,2021-09-03T15:10:00,2021-09-03T20:55:00,353.0,11,2
YL120,WTN,JBN,2021-09-03T16:00:00,2021-09-03T20:40:00,205.0,10,2
JT442,EZO,VVH,2021-09-03T16:25:00,2021-09-03T20:30:00,113.0,11,2
JT618,VVH,ZRW,2021-09-03T16:40:00,2021-09-03T20:10:00,90.0,11,2
CC535,ZRW,WUE,2021-09-03T16:45:00,2021-09-03T22:45:00,350.0,9,2
CC808,BPZ,WUE,2021-09-03T17:10:00,2021-09-03T22:40:00,311.0,9,2
JT510,EZO,NNB,2021-09-03T17:50:00,2021-09-03T20:40:00,61.0,11,1
CC675,VVH,NNB,2021-09-03T18:00:00,2021-09-03T19:50:00,15.0,9,1
JT323,WTN,JBN,2021-09-03T18:10:00,2021-09-03T22:50:00,185.0,11,2
CC813,BPZ,EZO,2021-09-03T18:30:00,2021-09-03T22:00:00,76.0,9,2
YL278,BPZ,JBN,2021-09-03T19:00:00,2021-09-03T23:15:00,124.0,10,2
CC100,VVH,EZO,2021-09-03T19:10:00,2021-09-03T23:15:00,136.0,9,2
JT547,EZO,BPZ,2021-09-03T20:55:00,2021-09-04T00:25:00,92.0,11,2
YL839,WUE,EZO,2021-09-03T21:25:00,2021-09-04T00:40:00,91.0,10,1
YL492,ZRW,JBN,2021-09-03T21:25:00,2021-09-04T02:15:00,203.0,10,2
YL319,EZO,VVH,2021-09-03T21:50:00,2021-09-04T01:55:00,117.0,10,2
JT618,ZRW,VVH,2021-09-03T22:10:00,2021-09-04T01:40:00,90.0,11,2
YL410,WTN,NNB,2021-09-03T22:35:00,2021-09-04T01:25:00,55.0,10,2
JT688,BPZ,JBN,2021-09-03T22:55:00,2021-09-04T03:10:00,144.0,11,2
CC463,BPZ,JBN,2021-09-03T23:25:00,2021-09-04T03:40:00,126.0,9,2
CC714,WTN,NNB,2021-09-03T23:35:00,2021-09-04T02:25:00,41.0,9,1
JT510,NNB,EZO,2021-09-03T23:40:00,2021-09-04T02:30:00,61.0,11,1
JT819,WTN,WUE,2021-09-04T00:55:00,2021-09-04T06:40:00,353.0,11,2
CC612,EZO,JBN,2021-09-04T01:05:00,2021-09-04T03:40:00,30.0,9,2
JT442,VVH,EZO,2021-09-04T01:30:00,2021-09-04T05:35:00,113.0,11,2
CC300,BPZ,ZRW,2021-09-04T02:40:00,2021-09-04T05:50:00,75.0,9,2
YL714,EZO,WTN,2021-09-04T02:50:00,2021-09-04T06:25:00,100.0,10,2
CC813,EZO,BPZ,2021-09-04T03:00:00,2021-09-04T06:30:00,76.0,9,2
CC808,WUE,BPZ,2021-09-04T03:40:00,2021-09-04T09:10:00,311.0,9,2
YL839,EZO,WUE,2021-09-04T03:40:00,2021-09-04T06:55:00,91.0,10,1
YL278,JBN,BPZ,2021-09-04T04:15:00,2021-09-04T08:30:00,124.0,10,2
JT688,JBN,BPZ,2021-09-04T05:10:00,2021-09-04T09:25:00,144.0,11,2
YL319,VVH,EZO,2021-09-04T06:55:00,2021-09-04T11:00:00,117.0,10,2
CC463,JBN,BPZ,2021-09-04T09:40:00,2021-09-04T13:55:00,126.0,9,2
CC612,JBN,EZO,2021-09-04T09:40:00,2021-09-04T12:15:00,30.0,9,2
CC300,ZRW,BPZ,2021-09-04T10:50:00,2021-09-04T14:00:00,75.0,9,2
JT107,BPZ,VVH,2021-09-04T10:55:00,2021-09-04T15:10:00,156.0,11,2
YL591,NNB,VVH,2021-09-04T10:55:00,2021-09-04T12:45:00,30.0,10,1
YL576,EZO,ZRW,2021-09-04T11:20:00,2021-09-04T17:00:00,310.0,10,2
CC561,WUE,NNB,2021-09-04T12:00:00,2021-09-04T15:15:00,84.0,9,1
CC311,WUE,WTN,2021-09-04T12:20:00,2021-09-04T18:05:00,327.0,9,2
CC211,EZO,ZRW,2021-09-04T12:20:00,2021-09-04T18:00:00,325.0,9,2
YL714,WTN,EZO,2021-09-04T12:25:00,2021-09-04T16:00:00,100.0,10,2
JT448,EZO,JBN,2021-09-04T12:45:00,2021-09-04T15:20:00,47.0,11,1
YL591,VVH,NNB,2021-09-04T14:45:00,2021-09-04T16:35:00,30.0,10,1
JT409,BPZ,WUE,2021-09-04T15:50:00,2021-09-04T21:20:00,304.0,11,2
JT448,JBN,EZO,2021-09-04T17:20:00,2021-09-04T19:55:00,47.0,11,1
YL774,VVH,JBN,2021-09-04T18:05:00,2021-09-04T19:55:00,13.0,10,2
CC202,WUE,VVH,2021-09-04T18:10:00,2021-09-04T20:50:00,41.0,9,2
JT178,VVH,JBN,2021-09-04T18:15:00,2021-09-04T20:05:00,30.0,11,1
JT107,VVH,BPZ,2021-09-04T19:10:00,2021-09-04T23:25:00,156.0,11,2
CC561,NNB,WUE,2021-09-04T19:15:00,2021-09-04T22:30:00,84.0,9,1
CC311,WTN,WUE,2021-09-04T20:05:00,2021-09-05T01:50:00,327.0,9,2
YL046,BPZ,WUE,2021-09-04T20:20:00,2021-09-05T01:50:00,317.0,10,2
YL576,ZRW,EZO,2021-09-04T21:00:00,2021-09-05T02:40:00,310.0,10,2
YL774,JBN,VVH,2021-09-04T22:55:00,2021-09-05T00:45:00,13.0,10,2
YL690,BPZ,ZRW,2021-09-04T23:30:00,2021-09-05T02:40:00,73.0,10,1
CC211,ZRW,EZO,2021-09-05T00:00:00,2021-09-05T05:40:00,325.0,9,2
JT178,JBN,VVH,2021-09-05T00:05:00,2021-09-05T01:55:00,30.0,11,1
JT465,WUE,NNB,2021-09-05T00:15:00,2021-09-05T03:30:00,71.0,11,1
JT409,WUE,BPZ,2021-09-05T00:20:00,2021-09-05T05:50:00,304.0,11,2
YL471,EZO,JBN,2021-09-05T00:20:00,2021-09-05T02:55:00,31.0,10,1
